scenario,cpu_speed,cpu_cores,cpu_threads,gpu_vram,ram_size,storage_space,psu_power,total_price,performance_score
Gaming,3.1,4,4,6,16,1000,850,2014,2286.5
General Use,3.7,8,16,8,64,250,1000,1628,1791.6
General Use,3.8,6,12,8,64,500,1250,1904,3042.4
General Use,3.1,4,4,8,16,1000,850,2065,5152.8
Workstation,3.1,4,4,8,64,2000,700,1746,24840.0
Gaming,3.4,8,16,6,32,1000,650,2078,2411.0
Workstation,3.1,4,4,8,32,1000,750,1720,14450.0
Content Creation,3.0,8,16,16,16,1000,600,2187,10544.0
Workstation,3.7,8,16,24,16,250,500,1475,5440.0
Home Office,3.3,6,12,8,32,1000,1500,1629,5353.0
General Use,3.7,6,12,6,64,1000,1000,2531,5541.6
Workstation,3.5,4,4,6,32,2000,750,2469,24450.0
Gaming,3.1,4,4,8,32,1000,750,2405,2406.5
Gaming,3.6,4,8,11,32,1000,900,2506,2474.0
General Use,3.5,4,4,8,32,1000,450,2307,5284.0
Gaming,3.7,4,8,4,32,1000,550,1967,2335.5
Gaming,3.6,8,16,24,32,1000,750,2010,2774.0
General Use,3.6,6,12,8,32,2000,1000,1897,10284.8
General Use,3.9,6,12,8,16,2000,650,1487,10159.2
Gaming,3.4,6,12,12,32,1000,600,2506,2511.0
General Use,3.5,6,12,8,128,1000,1000,2356,6052.0
General Use,3.8,8,16,8,16,1000,850,2189,5158.4
Home Office,3.5,4,4,8,64,2000,1050,1848,10675.0
Content Creation,3.3,6,12,24,16,2000,750,2057,20584.0
Content Creation,3.2,4,8,3,64,1000,750,1114,11352.0
General Use,3.5,4,4,12,16,1000,650,1968,5156.0
General Use,3.0,8,16,8,32,1000,850,1393,5280.0
Home Office,3.6,4,8,6,32,2000,1000,1589,10356.0
General Use,3.6,4,8,4,16,1000,550,2613,5156.8
General Use,3.7,4,8,8,96,1000,650,2592,5797.6
Content Creation,3.5,4,4,10,32,500,750,2276,5768.0
Gaming,3.7,4,8,8,8,500,650,1777,1295.5
General Use,3.6,4,8,6,16,1000,1000,2119,5156.8
Home Office,3.6,4,8,11,32,1000,850,2669,5356.0
General Use,3.6,4,8,16,16,2000,750,2076,10156.8
Workstation,3.4,8,16,8,32,1000,1000,2109,15760.0
General Use,3.6,4,8,8,32,2000,1000,1842,10284.8
General Use,3.7,8,16,24,32,500,1050,2657,2785.6
Workstation,3.8,8,16,8,16,1000,500,1956,12940.0
Gaming,3.2,4,8,8,16,1000,600,2421,2328.0
Content Creation,3.7,4,8,8,32,1000,1050,2683,10752.0
Content Creation,3.6,2,4,4,16,2000,650,2185,20376.0
Content Creation,3.8,8,16,8,16,250,550,2912,2980.0
General Use,3.7,4,8,8,48,1000,850,1690,5413.6
Home Office,3.6,8,16,8,32,1000,750,1270,5356.0
Content Creation,3.2,4,8,8,32,2000,650,1837,20752.0
Content Creation,3.6,4,8,8,32,1000,1200,1623,10752.0
Workstation,3.6,4,8,8,16,500,750,2096,9130.0
General Use,3.2,4,8,8,32,500,700,1326,2781.6
Home Office,3.1,4,4,16,16,1000,1000,2338,5191.0
General Use,3.6,4,8,8,32,1000,600,2019,5284.8
Gaming,3.6,4,8,12,16,1000,650,1912,2414.0
Workstation,3.2,8,16,6,48,2000,850,2616,25330.0
Home Office,3.1,4,4,8,16,1000,1000,1588,5191.0
Content Creation,3.1,4,4,8,8,500,650,2296,5272.0
Gaming,3.2,4,8,8,16,1000,400,1270,2328.0
Workstation,3.6,4,8,12,16,1000,750,2285,14130.0
Gaming,3.6,4,8,11,16,1000,750,2399,2394.0
Workstation,3.3,6,12,8,32,2000,1000,1646,25730.0
Home Office,3.6,8,16,4,32,1000,550,2137,5356.0
Content Creation,3.5,4,4,8,32,1000,1000,1170,10752.0
Home Office,3.2,8,16,11,32,1000,700,2582,5352.0
Gaming,3.6,6,12,6,32,1000,1000,2429,2394.0
Content Creation,3.4,8,16,2,32,500,1300,1834,5752.0
Content Creation,3.6,8,16,4,32,2000,850,2504,20768.0
Gaming,3.1,4,4,6,64,2000,700,2044,4526.5
Gaming,3.2,8,16,12,16,2000,550,2331,4448.0
General Use,3.2,4,8,20,64,1000,700,1733,5537.6
Workstation,3.8,8,16,6,8,2000,600,2224,23280.0
Home Office,3.8,8,16,20,16,1000,750,2760,5198.0
General Use,3.5,4,4,16,32,2000,650,1276,10284.0
Content Creation,3.6,4,8,8,32,1000,450,2135,10752.0
Gaming,3.3,6,12,12,48,250,450,1896,1089.5
Home Office,3.5,4,4,8,16,1000,700,1057,5195.0
Gaming,3.2,8,16,8,128,1000,600,1728,2928.0
Workstation,3.2,4,8,11,96,1000,450,2065,14230.0
Content Creation,3.5,4,4,16,8,500,750,2016,5336.0
Home Office,3.2,8,16,10,32,250,650,2650,1602.0
Workstation,3.7,4,8,8,16,1000,850,1761,14630.0
General Use,3.5,4,8,8,16,1000,650,1616,5156.0
Home Office,3.6,4,8,8,16,1000,750,2252,5196.0
Gaming,3.6,6,12,8,32,1000,1000,1552,2434.0
General Use,3.6,2,4,6,16,1000,500,2051,5156.8
Home Office,3.2,4,8,8,32,2000,850,1626,10352.0
General Use,3.2,4,8,6,32,2000,550,2425,10281.6
Home Office,3.2,8,16,8,16,2000,1200,2536,10192.0
General Use,3.7,4,8,8,32,1000,700,2241,5285.6
General Use,3.5,4,4,8,16,1000,1200,1895,5156.0
Content Creation,3.5,4,4,6,32,2000,1050,2297,20736.0
Content Creation,4.7,6,12,6,32,2000,700,2323,20760.0
Workstation,3.7,4,8,8,32,1000,850,2210,14950.0
General Use,3.9,6,12,6,32,500,850,1826,2787.2
Workstation,3.6,4,8,8,32,2000,700,1879,24200.0
Home Office,3.9,6,12,16,32,1000,1000,1751,5359.0
Content Creation,3.2,8,16,20,32,500,750,2402,5896.0
Content Creation,3.7,6,12,8,64,2000,650,1995,21416.0
Gaming,3.4,8,16,8,32,500,1000,2059,1451.0
Gaming,3.7,4,8,24,32,1000,600,2688,2735.5
Gaming,3.6,4,8,8,64,1000,850,2678,2574.0
Workstation,3.1,4,4,12,128,1000,850,2362,16870.0
General Use,3.2,4,8,8,32,2000,850,2064,10281.6
Content Creation,3.7,6,12,10,16,500,750,2006,5472.0
General Use,3.0,8,16,8,32,2000,550,1501,10280.0
Workstation,3.6,4,8,6,16,250,850,2048,7130.0
General Use,3.5,4,4,8,8,500,600,2609,2592.0
Workstation,4.5,8,16,4,16,250,650,2176,6190.0
Gaming,3.4,8,16,8,16,2000,550,1921,4371.0
Home Office,3.6,4,8,4,32,500,650,2300,2856.0
Content Creation,3.5,4,4,11,16,500,750,2427,5456.0
Content Creation,3.5,4,8,24,32,2000,750,1715,20880.0
General Use,3.5,4,4,8,64,1000,400,1951,5540.0
Gaming,3.1,4,4,8,16,2000,1000,1742,4326.5
Gaming,3.0,8,16,12,64,2000,1600,2182,4685.0
Gaming,3.7,4,8,24,32,1000,650,2471,2735.5
Gaming,3.6,8,16,3,32,1000,600,1540,2354.0
Home Office,3.1,4,4,8,16,2000,450,1854,10191.0
General Use,3.4,8,16,8,64,1000,600,2740,5539.2
Gaming,3.6,6,12,6,64,250,650,1909,1054.0
Home Office,4.2,8,16,8,64,1000,850,1806,5682.0
General Use,3.8,8,16,11,16,250,1200,2247,1408.4
Gaming,3.7,6,12,12,32,2000,550,3252,4515.5
Gaming,3.4,8,16,8,16,2000,1250,2481,4371.0
Workstation,3.6,2,4,24,8,2000,1200,2680,26190.0
Content Creation,4.7,12,24,4,32,500,650,2534,5816.0
General Use,3.4,8,16,4,48,1000,750,2009,5411.2
Workstation,3.6,6,12,8,16,2000,1000,1865,25410.0
Content Creation,3.7,8,16,24,96,2000,550,1835,22208.0
Home Office,3.6,4,8,8,32,2000,1200,1772,10356.0
Content Creation,3.5,4,4,8,16,1000,550,2572,10432.0
General Use,3.5,4,4,12,64,1000,1000,2053,5540.0
Content Creation,3.7,6,12,12,32,1000,650,2890,10808.0
Workstation,3.6,6,12,12,16,1000,700,1783,13910.0
General Use,3.7,8,16,12,64,250,650,2343,1791.6
Workstation,3.5,4,4,12,32,2000,1050,1981,25950.0
Home Office,3.4,8,16,4,32,1000,500,1417,5354.0
Workstation,3.6,4,8,12,32,1000,850,2213,14950.0
Gaming,3.5,4,4,8,32,500,450,2660,1412.5
General Use,3.6,8,16,8,32,1000,1000,1794,5284.8
General Use,3.6,2,4,6,16,250,550,1929,1406.8
Gaming,3.4,8,16,4,8,250,750,2926,751.0
Home Office,3.5,6,12,3,8,2000,650,2241,10115.0
General Use,3.5,4,8,12,32,1000,1350,1653,5284.0
Workstation,4.2,16,32,16,64,500,850,1481,10770.0
Workstation,3.8,8,16,16,32,250,750,2502,7010.0
Content Creation,3.6,8,16,8,16,2000,650,1984,20480.0
Gaming,3.8,4,4,16,16,1000,450,1803,2497.0
Content Creation,3.4,8,16,16,32,2000,650,1487,20864.0
Content Creation,3.3,6,12,12,32,1000,650,2748,10808.0
Home Office,3.3,6,12,8,32,1000,650,2837,5353.0
Content Creation,3.6,6,12,4,16,1000,1050,3126,10424.0
Home Office,3.6,6,12,8,32,1000,650,2537,5356.0
Home Office,3.8,8,16,6,32,2000,400,2311,10358.0
Content Creation,3.2,8,16,4,8,1000,850,2556,10288.0
Home Office,3.5,4,4,4,32,2000,750,2215,10355.0
Home Office,3.7,8,16,12,32,1000,850,1867,5357.0
Home Office,3.2,4,8,8,64,500,1600,1977,3172.0
Content Creation,3.1,4,4,6,8,2000,650,1811,20256.0
General Use,3.8,8,16,12,96,1000,550,2120,5798.4
Content Creation,4.4,12,24,6,16,1000,550,1879,10512.0
Workstation,3.7,8,16,8,64,500,750,2472,10150.0
Workstation,3.4,8,16,8,16,2000,600,2630,23440.0
Home Office,3.9,6,12,8,32,2000,1250,2152,10359.0
Workstation,3.8,8,16,24,64,2000,700,2646,24900.0
Content Creation,3.6,4,8,8,32,2000,500,2198,20752.0
Home Office,3.7,4,8,2,256,250,650,2322,3847.0
Home Office,3.6,8,16,16,32,1000,1000,2028,5356.0
Content Creation,3.6,8,16,6,8,250,850,2446,2804.0
Workstation,3.5,4,8,8,32,500,550,1946,8450.0
Workstation,4.7,6,12,6,8,2000,650,2300,23500.0
Workstation,3.4,8,16,8,256,1000,550,2742,17990.0
General Use,3.4,8,16,8,32,1000,650,2265,5283.2
Workstation,3.1,4,4,8,64,1000,700,3079,14840.0
Content Creation,3.2,4,8,4,32,2000,750,2025,20720.0
Content Creation,3.6,4,8,8,16,1000,1600,2940,10432.0
Content Creation,3.5,4,4,11,32,250,850,2554,3276.0
Workstation,3.2,4,8,10,16,2000,650,1973,23630.0
Gaming,3.4,6,12,8,16,1000,450,1976,2351.0
Home Office,3.6,4,8,8,32,1000,900,2828,5356.0
Content Creation,3.6,8,16,24,16,1000,650,2444,10608.0
Gaming,3.6,2,4,11,32,1000,750,2731,2454.0
General Use,3.7,6,12,6,16,1000,550,2300,5157.6
Home Office,3.5,6,12,6,16,1000,750,2547,5195.0
Home Office,3.7,8,16,8,64,250,750,2094,1927.0
General Use,3.9,6,12,24,16,1000,1300,1394,5159.2
Gaming,3.8,8,16,24,8,1000,550,1619,2657.0
Content Creation,3.3,6,12,12,32,1000,850,1763,10808.0
Home Office,3.6,8,16,11,32,250,750,1939,1606.0
Content Creation,3.4,6,12,8,32,1000,500,2215,10776.0
Home Office,3.6,4,8,8,16,1000,650,1522,5196.0
Gaming,3.6,6,12,12,64,500,750,1983,1674.0
Workstation,3.6,4,8,12,64,1000,850,3014,15590.0
Home Office,3.5,4,4,24,32,500,1000,1974,2855.0
Content Creation,4.5,8,16,11,32,500,750,2057,5824.0
Content Creation,3.3,6,12,8,32,1000,1000,1935,10776.0
Content Creation,3.7,6,12,4,8,1000,650,2285,10264.0
Home Office,3.2,4,8,8,16,250,1050,2252,1442.0
Home Office,3.5,4,4,8,64,1000,800,2140,5675.0
Workstation,3.2,8,16,11,16,2000,500,2112,22940.0
Home Office,3.4,8,16,4,8,2000,650,2294,10114.0
Content Creation,3.6,6,12,6,8,250,500,3049,2780.0
Home Office,3.6,2,4,8,32,1000,850,1956,5356.0
Workstation,3.6,4,8,8,32,2000,750,2124,24450.0
Content Creation,3.8,8,16,24,32,2000,650,2251,20928.0
Home Office,3.8,4,4,6,32,1000,1050,1516,5358.0
Gaming,3.6,8,16,6,64,2000,450,2219,4574.0
Content Creation,3.8,6,12,8,32,1000,650,2134,10776.0
General Use,3.8,6,12,6,16,2000,1300,1705,10158.4
General Use,3.2,8,16,6,16,2000,1000,1712,10153.6
Content Creation,3.2,4,8,11,32,2000,1200,2410,20776.0
Gaming,4.2,16,32,8,32,2000,700,1295,4543.0
Workstation,3.8,8,16,8,16,250,1300,1735,9440.0
Home Office,3.6,2,4,8,16,500,400,2302,2696.0
Home Office,3.8,8,16,12,64,2000,500,1367,10678.0
General Use,3.4,8,16,12,16,2000,650,2699,10155.2
Home Office,3.6,4,8,4,64,250,1200,2931,1926.0
Workstation,3.1,4,4,8,48,250,1000,1930,8520.0
General Use,3.6,6,12,8,8,1000,1200,2680,5092.8
Workstation,3.7,6,12,24,8,1000,750,3065,14000.0
Content Creation,3.2,8,16,6,32,2000,650,2121,20784.0
Content Creation,3.2,4,8,16,96,1000,600,2634,12096.0
Home Office,3.4,8,16,8,8,1000,750,1888,5114.0
Home Office,3.1,4,4,8,64,1000,400,1877,5671.0
Gaming,4.7,12,24,8,32,1000,850,2270,2510.5
General Use,3.7,6,12,16,64,1000,1500,2429,5541.6
Gaming,3.6,4,8,4,128,1000,850,2597,2814.0
General Use,3.5,6,12,8,16,1000,750,2068,5156.0
Content Creation,3.7,4,8,8,32,1000,750,2231,10752.0
Content Creation,3.6,6,12,12,16,1000,850,1377,10488.0
Home Office,3.4,8,16,12,96,2000,750,2437,10994.0
Content Creation,3.6,4,8,8,32,2000,800,2996,20752.0
General Use,3.6,8,16,4,16,500,750,2034,2656.8
General Use,3.8,8,16,24,32,1000,550,1444,5286.4
Home Office,3.6,4,8,12,32,2000,600,2249,10356.0
General Use,3.2,8,16,24,64,2000,550,2901,10537.6
Gaming,3.4,6,12,8,64,2000,850,2044,4591.0
General Use,3.2,8,16,8,32,2000,750,1421,10281.6
Workstation,3.2,4,8,8,32,2000,1200,2368,26700.0
Home Office,3.5,6,12,8,32,1000,1000,2265,5355.0
Workstation,3.7,4,8,8,32,2000,1200,2428,26700.0
Workstation,3.6,6,12,8,16,1000,750,1686,14160.0
Workstation,3.1,4,4,6,8,2000,450,1964,22470.0
Home Office,3.7,4,8,4,4,2000,600,2642,10077.0
Home Office,3.5,4,4,16,96,1000,650,2954,5995.0
Workstation,3.5,4,4,6,32,1000,650,2694,13950.0
General Use,3.6,4,8,8,32,2000,650,2907,10284.8
Content Creation,3.7,6,12,8,32,2000,850,1799,20776.0
General Use,3.5,4,8,16,32,1000,700,1596,5284.0
Home Office,3.6,6,12,4,16,1000,550,2155,5196.0
Gaming,3.7,6,12,11,8,1000,750,2353,2375.5
Home Office,3.8,8,16,8,64,2000,1200,2342,10678.0
General Use,3.6,12,24,8,32,2000,650,2949,10284.8
Workstation,3.7,6,12,11,32,500,600,2407,8730.0
Home Office,3.4,8,16,2,64,1000,750,2470,5674.0
Home Office,3.7,8,16,20,16,2000,750,1808,10197.0
Home Office,3.9,6,12,8,32,2000,1000,1425,10359.0
Home Office,3.5,6,12,16,32,1000,850,1921,5355.0
Content Creation,3.2,4,8,12,32,1000,850,1989,10784.0
Workstation,3.6,4,8,12,32,1000,1000,1576,15700.0
Workstation,3.6,4,8,8,8,500,650,2199,8470.0
Gaming,3.2,4,8,16,8,500,500,1413,1448.0
Workstation,4.5,8,16,8,32,500,600,2039,8760.0
Workstation,3.4,8,16,12,32,250,550,2601,6010.0
Content Creation,3.7,8,16,24,32,500,650,1603,5928.0
Content Creation,3.2,8,16,24,64,2000,450,2010,21568.0
Workstation,3.6,4,8,8,32,1000,1200,1372,16700.0
Home Office,3.6,4,8,8,8,2000,750,1842,10116.0
General Use,3.5,4,8,6,32,2000,850,1809,10284.0
General Use,3.6,8,16,6,16,1000,850,2045,5156.8
Workstation,3.5,4,4,12,96,1000,650,1246,15230.0
Workstation,3.1,4,4,12,64,1000,650,1613,14590.0
Content Creation,3.2,8,16,8,64,1000,650,2583,11440.0
Workstation,3.8,6,12,6,128,500,650,2691,10900.0
Home Office,3.2,4,8,4,8,1000,800,2189,5112.0
Content Creation,3.4,6,12,16,32,2000,750,3069,20840.0
General Use,3.1,4,4,12,64,1000,850,1795,5536.8
Content Creation,3.4,8,16,24,16,1000,700,2058,10608.0
Home Office,4.4,12,24,16,32,1000,850,2816,5364.0
General Use,3.4,8,16,10,96,1000,750,2987,5795.2
Gaming,3.5,4,8,8,32,1000,550,2192,2412.5
Home Office,3.4,8,16,2,32,1000,650,2137,5354.0
Gaming,3.5,4,4,8,16,1000,750,2458,2332.5
Home Office,3.7,4,8,8,32,1000,500,2000,5357.0
General Use,3.6,8,16,8,16,250,750,2111,1406.8
Home Office,3.7,6,12,8,64,1000,1600,2273,5677.0
Gaming,4.5,8,16,8,32,1000,600,1861,2467.5
Workstation,3.9,6,12,8,16,1000,1300,1464,16910.0
General Use,3.6,4,8,8,16,1000,850,2424,5156.8
General Use,3.3,6,12,8,48,2000,1200,1493,10410.4
Gaming,3.6,4,8,12,32,2000,650,1431,4494.0
General Use,3.5,6,12,8,32,1000,650,2066,5284.0
General Use,3.5,6,12,6,48,2000,750,2355,10412.0
Workstation,3.5,6,12,8,32,250,750,2869,6980.0
Home Office,3.4,6,12,24,16,500,700,2349,2694.0
Workstation,3.6,6,12,11,64,1000,1000,2922,16370.0
Workstation,3.5,4,4,11,16,1000,600,1733,13380.0
Gaming,3.6,4,8,6,8,2000,500,1231,4254.0
General Use,3.6,4,8,10,64,1000,850,2976,5540.8
General Use,3.7,8,16,12,32,1000,1000,1733,5285.6
Home Office,3.6,4,8,8,64,2000,850,2554,10676.0
Content Creation,3.2,4,8,24,32,1000,850,2121,10880.0
Home Office,3.5,4,4,8,16,500,800,2176,2695.0
Content Creation,3.8,4,4,8,64,1000,1000,1764,11392.0
Home Office,3.8,4,4,8,16,2000,700,1577,10198.0
Workstation,3.8,8,16,8,32,1000,700,2530,14260.0
Home Office,3.6,8,16,20,32,1000,750,2144,5356.0
General Use,3.6,2,4,24,16,2000,1300,2335,10156.8
Workstation,3.4,6,12,6,8,2000,1200,1889,26250.0
Workstation,3.6,6,12,24,64,2000,850,2858,25620.0
Content Creation,3.9,6,12,24,32,1000,850,2733,10904.0
Home Office,3.6,4,8,6,32,1000,650,2523,5356.0
General Use,3.2,4,8,8,32,1000,1000,1620,5281.6
Gaming,3.0,8,16,8,32,1000,1200,1929,2445.0
Home Office,3.4,8,16,12,32,1000,1200,2139,5354.0
Gaming,3.6,8,16,16,8,500,1000,2252,1494.0
General Use,3.9,6,12,11,32,1000,750,1791,5287.2
Home Office,3.8,4,4,3,64,1000,700,2000,5678.0
Home Office,3.7,12,24,8,32,2000,850,1802,10357.0
Gaming,3.6,6,12,4,32,500,650,2198,1354.0
Content Creation,3.6,8,16,6,32,2000,750,2654,20784.0
Gaming,3.6,8,16,8,16,1000,650,2437,2374.0
Gaming,3.8,8,16,12,32,2000,1000,1726,4537.0
Workstation,3.3,6,12,8,32,1000,1000,1654,15730.0
Content Creation,3.4,8,16,12,64,500,600,1869,6472.0
General Use,3.3,6,12,24,32,250,700,2437,1532.4
Gaming,3.5,6,12,8,16,500,1300,2807,1352.5
Workstation,3.6,6,12,4,32,2000,1200,2329,26730.0
General Use,3.6,6,12,4,64,1000,600,2101,5540.8
Workstation,3.2,4,8,12,32,250,1500,1584,10700.0
General Use,3.6,2,4,8,32,1000,1500,2106,5284.8
Workstation,3.7,12,24,8,32,2000,900,1459,25320.0
Home Office,3.0,8,16,8,32,1000,850,2353,5350.0
Home Office,3.9,6,12,2,16,2000,750,1644,10199.0
Content Creation,3.7,6,12,8,64,1000,750,2237,11416.0
Gaming,3.7,4,8,8,32,2000,500,1683,4415.5
Gaming,3.8,8,16,6,16,500,650,2859,1337.0
Workstation,3.9,6,12,12,8,1000,600,2628,13250.0
Home Office,3.6,6,12,24,64,2000,450,1550,10676.0
Gaming,3.6,4,8,8,32,500,1350,2432,1414.0
Workstation,3.4,8,16,8,64,250,1000,2716,8900.0
Gaming,3.6,6,12,8,128,1000,1000,2764,2914.0
General Use,3.6,8,16,8,8,250,500,1889,1342.8
Gaming,3.7,6,12,8,64,1000,650,2223,2595.5
Home Office,3.1,4,4,8,16,1000,1650,1977,5191.0
Gaming,3.6,2,4,16,8,500,850,2727,1434.0
Gaming,3.6,6,12,8,256,250,650,2432,2054.0
Content Creation,3.2,4,8,6,16,500,800,2075,5416.0
Workstation,3.5,4,4,12,64,500,1000,1491,11340.0
Workstation,3.6,4,8,8,32,2000,550,2349,23450.0
Home Office,3.6,6,12,6,32,250,1200,1402,1606.0
Workstation,3.4,8,16,8,32,1000,500,1743,13260.0
Home Office,3.5,4,4,8,32,250,500,2055,1605.0
Workstation,3.1,4,4,8,16,1000,600,1835,13380.0
Workstation,3.1,4,4,8,32,1000,1000,3131,15700.0
Gaming,3.6,2,4,8,16,1000,750,1903,2314.0
Workstation,3.5,6,12,8,8,1000,750,1915,14000.0
Gaming,3.6,12,24,4,16,2000,650,2359,4334.0
Gaming,3.6,6,12,8,8,250,850,2350,814.0
Home Office,3.4,6,12,10,64,2000,550,2066,10674.0
Content Creation,3.6,8,16,8,32,500,750,2145,5800.0
Home Office,3.7,4,8,12,16,1000,1200,2288,5197.0
Workstation,3.6,8,16,8,48,1000,550,1340,13830.0
Gaming,3.7,8,16,4,32,1000,450,1719,2375.5
Home Office,3.4,8,16,8,32,250,850,3028,1604.0
Content Creation,3.7,4,8,8,96,500,700,2030,7032.0
Home Office,3.7,4,8,8,16,1000,1300,2358,5197.0
Home Office,3.4,8,16,8,16,1000,650,1479,5194.0
Content Creation,4.7,12,24,4,64,1000,650,1745,11456.0
Home Office,3.4,8,16,8,32,500,550,2289,2854.0
Home Office,3.6,8,16,12,4,1000,650,1596,5076.0
Content Creation,3.9,6,12,10,8,1000,550,1982,10312.0
Content Creation,3.7,6,12,4,32,1000,750,1601,10744.0
Home Office,3.0,8,16,24,32,500,650,1968,2850.0
Workstation,4.4,12,24,11,32,1000,850,2327,15070.0
General Use,3.6,4,8,4,48,1000,650,1593,5412.8
General Use,3.6,8,16,12,64,2000,750,1829,10540.8
General Use,3.4,8,16,6,16,250,750,2103,1405.2
Workstation,3.2,4,8,12,32,500,550,2123,8450.0
Workstation,3.5,4,4,11,32,1000,850,2427,14950.0
Workstation,3.6,4,8,6,32,1000,1200,2123,16700.0
Workstation,3.1,4,4,4,32,250,750,2428,6950.0
